Name,Location,Price
"Kuşadası Merkezde full tadilatli 2+1 Satılık Daire
            ","['Kuşadası', ' Aydın']",1.550.000 TL
"REMAX Target dan ÇİĞLİ ESENKENT DE SATILIK DAİRE
            ","['Karşıyaka', ' İzmir']",2.900.000 TL
"RE/MAX Target dan ÇİĞLİ EGEKENT SATILIK DAİRE
            ","['Çiğli', ' İzmir']",1.570.000 TL
"ORTACA MERKEZDE EŞYALI 2 DAİRE - ÇATI 150 M2 VE ZEMİN KAT 40 M2
            ","['Ortaca', ' Muğla']",2.050.000 TL
"Bakırköy Zuhuratbaba Mah. Türkiş Caddesinde Satılık 3+1 Daire
            ","['Bakırköy', ' İstanbul']",4.100.000 TL
"BEYLİKDÜZÜ BAŞKENT YAPI'DAN SİTE İÇİ METROBÜSE 12DK SATILIK 2+1
            ","['Beylikdüzü', ' İstanbul']",2.650.000 TL
"ARSLANOĞLU GAYRİMENKUL'DEN ABDULHAMİTHAN'DA ARAKAT GENİŞ 2+1
            ","['Şahinbey', ' Gaziantep']",1.200.000 TL
"RE/MAX Target Efkan Ataç'dan Çiğli Yakakent'de 3+1 Satılık Daire
            ","['Çiğli', ' İzmir']",2.350.000 TL
"BURSA NİLÜFER ÜÇEVLER DE SİTE İÇİ SATILIK 4+1 DAİRE 2.750.000 TL
            ","['Nilüfer', ' Bursa']",2.750.000 TL
"TRABZON PELİTLİ'DE SATILIK 3+1 DENİZ MANZARALI DAİRE
            ","['Ortahisar', ' Trabzon']",2.175.000 TL
"KARTAL ÇAVUŞOĞLU 2+1 KİRACILI MASRAFSIZ SATILIK FIRSAT DAİRE
            ","['Kartal', ' İstanbul']",2.750.000 TL
"kuşadasında lux sitede deniz manzaralı yerden ısıtmalı 2+1
            ","['Kuşadası', ' Aydın']",3.100.000 TL
"YILMAZER'DEN BEŞİKKAYA 1916 CADDE ÜZERİ İSKANLI KÖK TAPULU DAİRE
            ","['Altındağ', ' Ankara']",1.549.000 TL
"ALAPARK SİTESİNDE GENİŞ KAPALI BALKONLU 1+1 DAİRE
            ","[' Merkez', ' Çanakkale']",1.375.000 TL
"BATI GAYRİMENKULDEN DİDİM ALTINKUM'DA SATILIK 1+1 EŞYALI DAİRE
            ","['Didim', ' Aydın']",2.250.000 TL
"PANORAMİK SEYİR TERASLI A-KLAS SİTEDE A-PLUS SATILIK DAİRE
            ","['Karasu', ' Sakarya']",1.450.000 TL
"DÜZCE MERKEZ BURHANİYE BULVAR YAKINI SATILIK DUBLEX DAİRE 2+1
            ","[' Merkez', ' Düzce']",1.765.000 TL
